epoch: E01   gen: 67   avg_fitness: 776046	   max_fitness: 5200343	   winner: PARENT      
epoch: E01   gen: 68   avg_fitness: 2986720	   max_fitness: 27246852	   winner: CROSS      
epoch: E01   gen: 69   avg_fitness: 28178066	   max_fitness: 308366675	   winner: PARENT      
epoch: E01   gen: 70   avg_fitness: 34222455	   max_fitness: 261146932	   winner: PARENT      
epoch: E01   gen: 71   avg_fitness: 51296194	   max_fitness: 240991938	   winner: PARENT      
epoch: E01   gen: 72   avg_fitness: 24651078	   max_fitness: 155128470	   winner: CROSS      
epoch: E01   gen: 73   avg_fitness: 20359611	   max_fitness: 128895186	   winner: CROSS      
epoch: E01   gen: 74   avg_fitness: 25490470	   max_fitness: 138405974	   winner: PARENT      
epoch: E01   gen: 75   avg_fitness: 23264691	   max_fitness: 181123975	   winner: PARENT      
epoch: E01   gen: 76   avg_fitness: 40053975	   max_fitness: 255867672	   winner: MUTANT  0.1   
epoch: E01   gen: 77   avg_fitness: 33135139	   max_fitness: 234837270	   winner: PARENT      
epoch: E01   gen: 78   avg_fitness: 50533852	   max_fitness: 192968664	   winner: MUTANT  0.06   
epoch: E01   gen: 79   avg_fitness: 30330444	   max_fitness: 176622917	   winner: PARENT      
epoch: E01   gen: 80   avg_fitness: 27603353	   max_fitness: 136105687	   winner: MUTANT  0.08   
epoch: E01   gen: 81   avg_fitness: 32504541	   max_fitness: 278386534	   winner: CROSS      
epoch: E01   gen: 82   avg_fitness: 31292479	   max_fitness: 147576196	   winner: PARENT      
epoch: E01   gen: 83   avg_fitness: 18924369	   max_fitness: 135439761	   winner: PARENT      
epoch: E01   gen: 84   avg_fitness: 13633012	   max_fitness: 104310743	   winner: MUTANT  0.11   
epoch: E01   gen: 85   avg_fitness: 27248834	   max_fitness: 165434835	   winner: MUTANT  0.05   
epoch: E01   gen: 86   avg_fitness: 22911845	   max_fitness: 190762531	   winner: MUTANT  0.11   
epoch: E01   gen: 87   avg_fitness: 9807297	   max_fitness: 66077451	   winner: CROSS      
epoch: E01   gen: 88   avg_fitness: 18038345	   max_fitness: 230104948	   winner: PARENT      
epoch: E01   gen: 89   avg_fitness: 29726316	   max_fitness: 253977570	   winner: CROSS      
epoch: E01   gen: 90   avg_fitness: 46469238	   max_fitness: 194687757	   winner: CROSS      
epoch: E01   gen: 91   avg_fitness: 32488369	   max_fitness: 240008907	   winner: MUTANT  0.14   
epoch: E01   gen: 92   avg_fitness: 57477522	   max_fitness: 279340689	   winner: PARENT      
epoch: E01   gen: 93   avg_fitness: 37449750	   max_fitness: 387979027	   winner: PARENT      
epoch: E01   gen: 94   avg_fitness: 107474	   max_fitness: 1499797	   winner: MUTANT  0.14   
epoch: E01   gen: 95   avg_fitness: 80024	   max_fitness: 489362	   winner: PARENT      
epoch: E01   gen: 96   avg_fitness: 166538	   max_fitness: 1887321	   winner: MUTANT  0.14   
epoch: E01   gen: 97   avg_fitness: 473401	   max_fitness: 5084308	   winner: PARENT      
epoch: E01   gen: 98   avg_fitness: 944259	   max_fitness: 15133495	   winner: MUTANT  0.16   
epoch: E01   gen: 99   avg_fitness: 2763286	   max_fitness: 50433297	   winner: PARENT      
epoch: E01   gen: 100   avg_fitness: 3098635	   max_fitness: 52747872	   winner: PARENT      
epoch: E01   gen: 101   avg_fitness: 7498815	   max_fitness: 76883875	   winner: PARENT      
epoch: E01   gen: 102   avg_fitness: 185019	   max_fitness: 3158893	   winner: PARENT      
epoch: E01   gen: 103   avg_fitness: 796	   max_fitness: 6562	   winner: NEWSPEC  0.4  0.74
epoch: E01   gen: 104   avg_fitness: 1120099	   max_fitness: 10393569	   winner: MUTANT  0.12   
epoch: E01   gen: 105   avg_fitness: 303424	   max_fitness: 3943545	   winner: PARENT      
epoch: E01   gen: 106   avg_fitness: 1693492	   max_fitness: 13750413	   winner: CROSS      
epoch: E01   gen: 107   avg_fitness: 3435310	   max_fitness: 37749667	   winner: MUTANT  0.06   
epoch: E01   gen: 108   avg_fitness: 6598948	   max_fitness: 59999948	   winner: PARENT      
epoch: E01   gen: 109   avg_fitness: 4423238	   max_fitness: 39780552	   winner: CROSS      
epoch: E01   gen: 110   avg_fitness: 10752592	   max_fitness: 148293908	   winner: CROSS      
epoch: E01   gen: 111   avg_fitness: 2492299	   max_fitness: 19626196	   winner: MUTANT  0.06   
epoch: E01   gen: 112   avg_fitness: 1009263	   max_fitness: 10654392	   winner: PARENT      
epoch: E01   gen: 113   avg_fitness: 9987901	   max_fitness: 102086128	   winner: CROSS      
epoch: E01   gen: 114   avg_fitness: 8299522	   max_fitness: 63245838	   winner: PARENT      
epoch: E01   gen: 115   avg_fitness: 10133385	   max_fitness: 154759590	   winner: PARENT      
epoch: E01   gen: 116   avg_fitness: 10533835	   max_fitness: 49749064	   winner: PARENT      
epoch: E01   gen: 117   avg_fitness: 9413438	   max_fitness: 148921125	   winner: PARENT      
epoch: E01   gen: 118   avg_fitness: 1648616	   max_fitness: 20111618	   winner: PARENT      
epoch: E01   gen: 119   avg_fitness: 3525711	   max_fitness: 63939302	   winner: PARENT      
epoch: E01   gen: 120   avg_fitness: 425989	   max_fitness: 6226864	   winner: PARENT      
epoch: E01   gen: 121   avg_fitness: 5922898	   max_fitness: 91665600	   winner: PARENT      
epoch: E01   gen: 122   avg_fitness: 3863380	   max_fitness: 68201656	   winner: PARENT      
epoch: E01   gen: 123   avg_fitness: 1186903	   max_fitness: 17615590	   winner: MUTANT  0.05   
epoch: E01   gen: 124   avg_fitness: 5398986	   max_fitness: 100116512	   winner: CROSS      
epoch: E01   gen: 125   avg_fitness: 3101117	   max_fitness: 26827187	   winner: MUTANT  0.1   
epoch: E01   gen: 126   avg_fitness: 4009396	   max_fitness: 33458982	   winner: PARENT      
epoch: E01   gen: 127   avg_fitness: 945111	   max_fitness: 8571830	   winner: PARENT      
epoch: E01   gen: 128   avg_fitness: 14017716	   max_fitness: 238859654	   winner: CROSS      
epoch: E01   gen: 129   avg_fitness: 8218435	   max_fitness: 59958623	   winner: NEWSPEC  0.76  1.0
epoch: E01   gen: 130   avg_fitness: 12128139	   max_fitness: 162789129	   winner: PARENT      
epoch: E01   gen: 131   avg_fitness: 8437143	   max_fitness: 53585198	   winner: NEWSPEC  0.47  0.98
epoch: E01   gen: 132   avg_fitness: 14718094	   max_fitness: 96048407	   winner: CROSS      
epoch: E01   gen: 133   avg_fitness: 7110073	   max_fitness: 46955876	   winner: CROSS      
epoch: E01   gen: 134   avg_fitness: 9980532	   max_fitness: 74871813	   winner: PARENT      
epoch: E01   gen: 135   avg_fitness: 14505261	   max_fitness: 163266924	   winner: CROSS      
epoch: E01   gen: 136   avg_fitness: 10405762	   max_fitness: 82760997	   winner: PARENT      
epoch: E01   gen: 137   avg_fitness: 17560079	   max_fitness: 108279853	   winner: CROSS      
epoch: E01   gen: 138   avg_fitness: 12694962	   max_fitness: 188073224	   winner: PARENT      
epoch: E01   gen: 139   avg_fitness: 9047045	   max_fitness: 67915840	   winner: CROSS      
epoch: E01   gen: 140   avg_fitness: 8847207	   max_fitness: 45577276	   winner: MUTANT  0.07   
epoch: E01   gen: 141   avg_fitness: 18655409	   max_fitness: 282029586	   winner: PARENT      
epoch: E01   gen: 142   avg_fitness: 17723903	   max_fitness: 233015500	   winner: PARENT      
epoch: E01   gen: 143   avg_fitness: 11700057	   max_fitness: 64106631	   winner: PARENT      
epoch: E01   gen: 144   avg_fitness: 9248435	   max_fitness: 43446495	   winner: CROSS      
epoch: E01   gen: 145   avg_fitness: 11008723	   max_fitness: 135684558	   winner: CROSS      
epoch: E01   gen: 146   avg_fitness: 6812817	   max_fitness: 50262244	   winner: PARENT      
epoch: E01   gen: 147   avg_fitness: 8581608	   max_fitness: 88488492	   winner: CROSS      
epoch: E01   gen: 148   avg_fitness: 9899192	   max_fitness: 71084070	   winner: CROSS      
epoch: E01   gen: 149   avg_fitness: 7602335	   max_fitness: 43444646	   winner: MUTANT  0.11   
epoch: E01   gen: 150   avg_fitness: 11500598	   max_fitness: 124128675	   winner: PARENT      
epoch: E01   gen: 151   avg_fitness: 5233584	   max_fitness: 29849976	   winner: MUTANT  0.07   
epoch: E01   gen: 152   avg_fitness: 10924838	   max_fitness: 60934146	   winner: PARENT      
epoch: E01   gen: 153   avg_fitness: 8256535	   max_fitness: 83508527	   winner: CROSS      
epoch: E01   gen: 154   avg_fitness: 22837741	   max_fitness: 142513344	   winner: PARENT      
epoch: E01   gen: 155   avg_fitness: 10378713	   max_fitness: 87626912	   winner: PARENT      
epoch: E01   gen: 156   avg_fitness: 19035286	   max_fitness: 200843491	   winner: CROSS      
epoch: E01   gen: 157   avg_fitness: 11126044	   max_fitness: 69100250	   winner: PARENT      
epoch: E01   gen: 158   avg_fitness: 28762400	   max_fitness: 228384640	   winner: PARENT      
epoch: E01   gen: 159   avg_fitness: 15676545	   max_fitness: 141190524	   winner: PARENT      
epoch: E01   gen: 160   avg_fitness: 10537305	   max_fitness: 73664878	   winner: PARENT      
epoch: E01   gen: 161   avg_fitness: 27047911	   max_fitness: 243426281	   winner: PARENT      
epoch: E01   gen: 162   avg_fitness: 12337715	   max_fitness: 81342606	   winner: CROSS      
epoch: E01   gen: 163   avg_fitness: 10046711	   max_fitness: 72408454	   winner: CROSS      
epoch: E01   gen: 164   avg_fitness: 15459290	   max_fitness: 109685720	   winner: CROSS      
epoch: E01   gen: 165   avg_fitness: 16964015	   max_fitness: 165625475	   winner: CROSS      
epoch: E01   gen: 166   avg_fitness: 11326865	   max_fitness: 91926252	   winner: PARENT      
epoch: E01   gen: 167   avg_fitness: 12539962	   max_fitness: 75004763	   winner: NEWSPEC  0.68  0.96
epoch: E01   gen: 168   avg_fitness: 13530707	   max_fitness: 120580004	   winner: PARENT      
epoch: E01   gen: 169   avg_fitness: 6123217	   max_fitness: 63897079	   winner: PARENT      
epoch: E01   gen: 170   avg_fitness: 8850925	   max_fitness: 111213402	   winner: PARENT      
epoch: E01   gen: 171   avg_fitness: 2561953	   max_fitness: 28451370	   winner: CROSS      
epoch: E01   gen: 172   avg_fitness: 1761506	   max_fitness: 15863046	   winner: PARENT      
epoch: E01   gen: 173   avg_fitness: 4303817	   max_fitness: 21320139	   winner: NEWSPEC  0.61  0.99
epoch: E01   gen: 174   avg_fitness: 785694	   max_fitness: 8843723	   winner: PARENT      
epoch: E01   gen: 175   avg_fitness: 3920019	   max_fitness: 30213394	   winner: PARENT      
epoch: E01   gen: 176   avg_fitness: 2849642	   max_fitness: 11619015	   winner: MUTANT  0.07   
epoch: E01   gen: 177   avg_fitness: 2314999	   max_fitness: 19910065	   winner: PARENT      
epoch: E01   gen: 178   avg_fitness: 5716170	   max_fitness: 57087030	   winner: CROSS      
epoch: E01   gen: 179   avg_fitness: 5647321	   max_fitness: 44187178	   winner: PARENT      
epoch: E01   gen: 180   avg_fitness: 13415561	   max_fitness: 117159822	   winner: PARENT      
epoch: E01   gen: 181   avg_fitness: 14474742	   max_fitness: 110707727	   winner: PARENT      
epoch: E01   gen: 182   avg_fitness: 17859181	   max_fitness: 98405916	   winner: MUTANT  0.12   
epoch: E01   gen: 183   avg_fitness: 12670473	   max_fitness: 139591745	   winner: PARENT      
epoch: E01   gen: 184   avg_fitness: 33013826	   max_fitness: 180955556	   winner: CROSS      
epoch: E01   gen: 185   avg_fitness: 11802604	   max_fitness: 105017741	   winner: PARENT      
epoch: E01   gen: 186   avg_fitness: 15305344	   max_fitness: 218457728	   winner: PARENT      
epoch: E01   gen: 187   avg_fitness: 13558435	   max_fitness: 98237740	   winner: PARENT      
epoch: E01   gen: 188   avg_fitness: 12509868	   max_fitness: 93455145	   winner: PARENT      
epoch: E01   gen: 189   avg_fitness: 8845082	   max_fitness: 83184873	   winner: PARENT      
epoch: E01   gen: 190   avg_fitness: 7415408	   max_fitness: 49064234	   winner: MUTANT  0.13   
epoch: E01   gen: 191   avg_fitness: 4201907	   max_fitness: 61355301	   winner: PARENT      
epoch: E01   gen: 192   avg_fitness: 8483375	   max_fitness: 51046626	   winner: MUTANT  0.19   
epoch: E01   gen: 193   avg_fitness: 19930629	   max_fitness: 165598952	   winner: CROSS      
epoch: E01   gen: 194   avg_fitness: 12043267	   max_fitness: 156293743	   winner: MUTANT  0.11   
epoch: E01   gen: 195   avg_fitness: 3991228	   max_fitness: 27426998	   winner: MUTANT  0.1   
epoch: E01   gen: 196   avg_fitness: 10489357	   max_fitness: 87283315	   winner: MUTANT  0.17   
epoch: E01   gen: 197   avg_fitness: 7148090	   max_fitness: 63602720	   winner: PARENT      
epoch: E01   gen: 198   avg_fitness: 12884558	   max_fitness: 77972842	   winner: PARENT      
epoch: E01   gen: 199   avg_fitness: 19948037	   max_fitness: 132972933	   winner: MUTANT  0.07   
epoch: E01   gen: 200   avg_fitness: 19485369	   max_fitness: 233867697	   winner: CROSS      
epoch: E01   gen: 201   avg_fitness: 13012738	   max_fitness: 111717926	   winner: MUTANT  0.08   
epoch: E01   gen: 202   avg_fitness: 35048637	   max_fitness: 150378665	   winner: NEWSPEC  0.94  1.0
epoch: E01   gen: 203   avg_fitness: 13715564	   max_fitness: 65736885	   winner: PARENT      
epoch: E01   gen: 204   avg_fitness: 28228492	   max_fitness: 258313708	   winner: CROSS      
